都道府県,駅名,住所,キャッチコピー,タイトル,仕事内容,アピールポイント
福岡県,天神,福岡県福岡市中央区天神二丁目,駅チカ勤務◎未経験から始めるデバッグスタッフ募集♪,未経験OK｜ゲームテスター｜天神駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市中央区で募集中／
まずは1項目から。ゲームテスター募集◎
✦・━━━━━━━━━━━━━━━・✦

テストと聞くと難しそうですが、
実際にやることは決まっています。

仕様書に書かれた手順どおりに動かして、
書かれているとおりに動くかを確かめる。
違っていたら、その状況を記録する。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する作業✧】

■ テストプレイ：仕様書の手順に沿って操作する
■ 不具合の確認：表示・進行・音などの異常を見る
■ 再現の確認：同じ手順でもう一度起きるかを確かめる
■ 報告：発生手順と状況を所定のフォーマットに記入する
■ チェックリスト記入：確認済みの項目に印をつける

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 開発・プログラミングの知識は必要ありません
✔ 確認する順番も、報告の書き方も決まっています
✔ 最初は担当する項目から順に覚えていけます
✔ ゲームのジャンルや機種は案件によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市中央区天神二丁目（天神駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,小倉,福岡県北九州市小倉北区浅野一丁目,未経験OK◎テスト仕様書に沿って進めるゲームデバッグ♪,未経験OK｜ゲームテスター｜小倉駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県北九州市小倉北区で募集中／
発売前のゲームを遊んで、不具合を見つける。
未経験からはじめるゲームテスター◎
✦・━━━━━━━━━━━━━━━・✦

「ゲームは好きだけど、仕事にできるの？」
「プログラミングの知識が要るのでは？」

このお仕事に、開発の知識は必要ありません。
決められた手順どおりに操作して、
気づいたことを記録するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ テストプレイ
テスト仕様書に書かれた手順どおりにゲームを操作します。

■ 不具合の確認
表示の乱れ・進行の停止・音が出ないなど、
仕様と違う動きがないかを見ます。

■ 再現の確認
見つけた不具合が、同じ手順でもう一度起きるかを確かめます。

■ 報告
どの画面で、どの操作をしたときに、何が起きたかを
所定のフォーマットに記入します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 開発やプログラミングの知識は不要です
✔ 確認する手順はテスト仕様書に書かれています
✔ 担当する範囲から少しずつ覚えられます
✔ 接客や電話対応はありません

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県北九州市小倉北区浅野一丁目（小倉駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,薬院,福岡県福岡市中央区白金一丁目,ゲーム好き歓迎◎不具合を見つけて報告するお仕事♪,未経験OK｜ゲームテスター｜薬院駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市中央区で募集中／
「あれ？」に気づける人を探しています。
ゲームデバッグスタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

同じ画面を何度も確認する。
小さな違いに気づいて、書き留める。

派手さはありませんが、
この積み重ねが製品の品質を支えています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日に担当するテスト項目を確認します。

■ テストプレイ
仕様書の手順に沿って操作し、動作を確認します。

■ 記録
仕様と違う動きがあれば、発生した手順と状況を書き留めます。

■ 再現と報告
同じ手順で再び起きるかを確かめ、所定の形式で報告します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 判断の基準はテスト仕様書にあります
✔ 自分で仕様を決める場面はありません
✔ 接客や電話対応はありません
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市中央区白金一丁目（薬院駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,大橋,福岡県福岡市南区大橋一丁目,もくもく作業◎チェックリストで進めるデバッグ業務♪,未経験OK｜ゲームテスター｜大橋駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市南区で募集中／
まずは1項目から。ゲームテスター募集◎
✦・━━━━━━━━━━━━━━━・✦

テストと聞くと難しそうですが、
実際にやることは決まっています。

仕様書に書かれた手順どおりに動かして、
書かれているとおりに動くかを確かめる。
違っていたら、その状況を記録する。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する作業✧】

■ テストプレイ：仕様書の手順に沿って操作する
■ 不具合の確認：表示・進行・音などの異常を見る
■ 再現の確認：同じ手順でもう一度起きるかを確かめる
■ 報告：発生手順と状況を所定のフォーマットに記入する
■ チェックリスト記入：確認済みの項目に印をつける

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 開発・プログラミングの知識は必要ありません
✔ 確認する順番も、報告の書き方も決まっています
✔ 最初は担当する項目から順に覚えていけます
✔ ゲームのジャンルや機種は案件によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市南区大橋一丁目（大橋駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,香椎,福岡県福岡市東区香椎駅前,接客なし◎プレイして気づいたことを記録するお仕事♪,未経験OK｜ゲームテスター｜香椎駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市東区で募集中／
発売前のゲームを遊んで、不具合を見つける。
未経験からはじめるゲームテスター◎
✦・━━━━━━━━━━━━━━━・✦

「ゲームは好きだけど、仕事にできるの？」
「プログラミングの知識が要るのでは？」

このお仕事に、開発の知識は必要ありません。
決められた手順どおりに操作して、
気づいたことを記録するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ テストプレイ
テスト仕様書に書かれた手順どおりにゲームを操作します。

■ 不具合の確認
表示の乱れ・進行の停止・音が出ないなど、
仕様と違う動きがないかを見ます。

■ 再現の確認
見つけた不具合が、同じ手順でもう一度起きるかを確かめます。

■ 報告
どの画面で、どの操作をしたときに、何が起きたかを
所定のフォーマットに記入します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 開発やプログラミングの知識は不要です
✔ 確認する手順はテスト仕様書に書かれています
✔ 担当する範囲から少しずつ覚えられます
✔ 接客や電話対応はありません

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市東区香椎駅前（香椎駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,黒崎,福岡県北九州市八幡西区黒崎,手順は決まっています◎はじめてのゲームテスター♪,未経験OK｜ゲームテスター｜黒崎駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県北九州市八幡西区で募集中／
「あれ？」に気づける人を探しています。
ゲームデバッグスタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

同じ画面を何度も確認する。
小さな違いに気づいて、書き留める。

派手さはありませんが、
この積み重ねが製品の品質を支えています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日に担当するテスト項目を確認します。

■ テストプレイ
仕様書の手順に沿って操作し、動作を確認します。

■ 記録
仕様と違う動きがあれば、発生した手順と状況を書き留めます。

■ 再現と報告
同じ手順で再び起きるかを確かめ、所定の形式で報告します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 判断の基準はテスト仕様書にあります
✔ 自分で仕様を決める場面はありません
✔ 接客や電話対応はありません
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県北九州市八幡西区黒崎（黒崎駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,中洲川端,福岡県福岡市博多区上川端町,駅チカ勤務◎未経験から始めるデバッグスタッフ募集♪,未経験OK｜ゲームテスター｜中洲川端駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市博多区で募集中／
まずは1項目から。ゲームテスター募集◎
✦・━━━━━━━━━━━━━━━・✦

テストと聞くと難しそうですが、
実際にやることは決まっています。

仕様書に書かれた手順どおりに動かして、
書かれているとおりに動くかを確かめる。
違っていたら、その状況を記録する。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する作業✧】

■ テストプレイ：仕様書の手順に沿って操作する
■ 不具合の確認：表示・進行・音などの異常を見る
■ 再現の確認：同じ手順でもう一度起きるかを確かめる
■ 報告：発生手順と状況を所定のフォーマットに記入する
■ チェックリスト記入：確認済みの項目に印をつける

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 開発・プログラミングの知識は必要ありません
✔ 確認する順番も、報告の書き方も決まっています
✔ 最初は担当する項目から順に覚えていけます
✔ ゲームのジャンルや機種は案件によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市博多区上川端町（中洲川端駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,福岡空港,福岡県福岡市博多区大字下臼井,未経験OK◎テスト仕様書に沿って進めるゲームデバッグ♪,未経験OK｜ゲームテスター｜福岡空港駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市博多区で募集中／
発売前のゲームを遊んで、不具合を見つける。
未経験からはじめるゲームテスター◎
✦・━━━━━━━━━━━━━━━・✦

「ゲームは好きだけど、仕事にできるの？」
「プログラミングの知識が要るのでは？」

このお仕事に、開発の知識は必要ありません。
決められた手順どおりに操作して、
気づいたことを記録するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ テストプレイ
テスト仕様書に書かれた手順どおりにゲームを操作します。

■ 不具合の確認
表示の乱れ・進行の停止・音が出ないなど、
仕様と違う動きがないかを見ます。

■ 再現の確認
見つけた不具合が、同じ手順でもう一度起きるかを確かめます。

■ 報告
どの画面で、どの操作をしたときに、何が起きたかを
所定のフォーマットに記入します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 開発やプログラミングの知識は不要です
✔ 確認する手順はテスト仕様書に書かれています
✔ 担当する範囲から少しずつ覚えられます
✔ 接客や電話対応はありません

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市博多区大字下臼井（福岡空港駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
福岡県,赤坂,福岡県福岡市中央区大名二丁目,ゲーム好き歓迎◎不具合を見つけて報告するお仕事♪,未経験OK｜ゲームテスター｜赤坂駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼福岡県福岡市中央区で募集中／
「あれ？」に気づける人を探しています。
ゲームデバッグスタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

同じ画面を何度も確認する。
小さな違いに気づいて、書き留める。

派手さはありませんが、
この積み重ねが製品の品質を支えています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日に担当するテスト項目を確認します。

■ テストプレイ
仕様書の手順に沿って操作し、動作を確認します。

■ 記録
仕様と違う動きがあれば、発生した手順と状況を書き留めます。

■ 再現と報告
同じ手順で再び起きるかを確かめ、所定の形式で報告します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 判断の基準はテスト仕様書にあります
✔ 自分で仕様を決める場面はありません
✔ 接客や電話対応はありません
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

福岡県福岡市中央区大名二丁目（赤坂駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
熊本県,熊本,熊本県熊本市西区春日三丁目,もくもく作業◎チェックリストで進めるデバッグ業務♪,未経験OK｜ゲームテスター｜熊本駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼熊本県熊本市西区で募集中／
まずは1項目から。ゲームテスター募集◎
✦・━━━━━━━━━━━━━━━・✦

テストと聞くと難しそうですが、
実際にやることは決まっています。

仕様書に書かれた手順どおりに動かして、
書かれているとおりに動くかを確かめる。
違っていたら、その状況を記録する。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する作業✧】

■ テストプレイ：仕様書の手順に沿って操作する
■ 不具合の確認：表示・進行・音などの異常を見る
■ 再現の確認：同じ手順でもう一度起きるかを確かめる
■ 報告：発生手順と状況を所定のフォーマットに記入する
■ チェックリスト記入：確認済みの項目に印をつける

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 開発・プログラミングの知識は必要ありません
✔ 確認する順番も、報告の書き方も決まっています
✔ 最初は担当する項目から順に覚えていけます
✔ ゲームのジャンルや機種は案件によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

熊本県熊本市西区春日三丁目（熊本駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
熊本県,上熊本,熊本県熊本市西区上熊本二丁目,接客なし◎プレイして気づいたことを記録するお仕事♪,未経験OK｜ゲームテスター｜上熊本駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼熊本県熊本市西区で募集中／
発売前のゲームを遊んで、不具合を見つける。
未経験からはじめるゲームテスター◎
✦・━━━━━━━━━━━━━━━・✦

「ゲームは好きだけど、仕事にできるの？」
「プログラミングの知識が要るのでは？」

このお仕事に、開発の知識は必要ありません。
決められた手順どおりに操作して、
気づいたことを記録するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ テストプレイ
テスト仕様書に書かれた手順どおりにゲームを操作します。

■ 不具合の確認
表示の乱れ・進行の停止・音が出ないなど、
仕様と違う動きがないかを見ます。

■ 再現の確認
見つけた不具合が、同じ手順でもう一度起きるかを確かめます。

■ 報告
どの画面で、どの操作をしたときに、何が起きたかを
所定のフォーマットに記入します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 開発やプログラミングの知識は不要です
✔ 確認する手順はテスト仕様書に書かれています
✔ 担当する範囲から少しずつ覚えられます
✔ 接客や電話対応はありません

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

熊本県熊本市西区上熊本二丁目（上熊本駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
熊本県,新水前寺,熊本県熊本市中央区白山二丁目,手順は決まっています◎はじめてのゲームテスター♪,未経験OK｜ゲームテスター｜新水前寺駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼熊本県熊本市中央区で募集中／
「あれ？」に気づける人を探しています。
ゲームデバッグスタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

同じ画面を何度も確認する。
小さな違いに気づいて、書き留める。

派手さはありませんが、
この積み重ねが製品の品質を支えています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日に担当するテスト項目を確認します。

■ テストプレイ
仕様書の手順に沿って操作し、動作を確認します。

■ 記録
仕様と違う動きがあれば、発生した手順と状況を書き留めます。

■ 再現と報告
同じ手順で再び起きるかを確かめ、所定の形式で報告します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 判断の基準はテスト仕様書にあります
✔ 自分で仕様を決める場面はありません
✔ 接客や電話対応はありません
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

熊本県熊本市中央区白山二丁目（新水前寺駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
何をどの順番で確認するかは、テスト仕様書に書かれています。
自分で仕様を判断しなければならない場面はありません。

✅ ② 開発の知識は不要です
プログラムを書く仕事ではありません。
操作して、気づいたことを決められた形式で記録します。

✅ ③ 1 項目からはじめられます
最初から全体を把握する必要はありません。
担当する項目から順に慣れていけます。

✅ ④ 接客・電話対応はありません
画面に向かって進める作業が中心です。
人と話すより、手を動かして集中したい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 小さな違いに気づくのが得意な方
✔ 同じ作業を丁寧に繰り返せる方
✔ 気づいたことを言葉にして残せる方
✔ ゲームに触れる時間が好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
